Goals,Shots,SOT,Possession,Tackles,Fouls,Ycards,Rcards,Offsides,Corners,ShotAccuracy,PassAccuracy,Opponent,Date,Round/Level,CupType,OpponentLevel,OpponentCountry,OGoals,OShots,OSOT,OPossession,OTackles,OFouls,OYcards,ORcards,OCorners,OShotAccuracy,OPassAccuracy,Team,OpponentTeam,OpponentGoalScorers,OAssistMakers,OSavesByGK,Result,GameID,ET,EndPenalties,OGoalsByCorner,GoalByPenalties,MatchTIme,Location,Formation,TeamLeague,GameType
2,17,9,51,21,1,0,0,0,7,52,82,koalexct,3/4/2017,Semi,PremierCup,7,None,1,5,3,49,8,4,0,0,3,60,84,Real Madrid,Arsenal,Giroud,Oxlade-Chamberlain,9,Win,1,FALSE,FALSE,0,0,90,,4_3_3,EPL,Tournament
1,11,5,57,12,2,0,0,1,4,45,86,dowdow_silva,3/4/2017,Final,PremierCup,4,Brazil,1,9,5,43,16,1,0,0,3,55,81,Real Madrid,Bayern Munich,Coman,J. Martinez,7,Loss,2,TRUE,TRUE,0,0,120,,4_3_3,Bundesliga,Tournament
0,11,8,55,12,1,0,0,0,4,72,83,gleyton86,3/4/2017,Roundof16,PremierCup,6,Brazil,1,6,4,45,8,2,0,0,3,66,76,Real Madrid,Juventus,P. Dybala,M. Pjanic,6,Loss,3,FALSE,FALSE,1,0,90,,4_3_3,Serie A,Tournament
2,9,7,59,8,0,0,0,3,5,77,88,panitochapin2,3/4/2017,Roundof16,PremierCup,4,Portugal,0,6,2,41,6,2,1,0,0,33,84,Real Madrid,Napoli,None,None,7,Win,4,FALSE,FALSE,0,0,90,,4_3_3,Serie A,Tournament
2,9,6,56,10,1,0,0,0,3,66,87,luco972,3/4/2017,Qfinal,PremierCup,4,France,0,6,4,44,13,0,0,0,2,66,67,Real Madrid,PSG,None,None,3,Win,5,FALSE,FALSE,0,0,90,,4_3_3,Ligue 1,Tournament
3,12,9,56,28,2,0,0,1,4,75,88,kroatisen,3/4/2017,Semi,PremierCup,6,Croatia,0,1,0,44,10,0,0,0,0,0,86,Real Madrid,Barcelona,None,None,8,Win,6,FALSE,FALSE,0,1,85,,4_3_3,La Liga,Tournament
2,19,15,51,20,4,0,0,0,4,78,90,stenio14,3/4/2017,Final,PremierCup,7,Brazil,4,10,6,49,18,0,0,0,2,60,91,Real Madrid,Barcelona,"Messi, Messi, A. Gomes, Ter Stegen","L. Suarez, L. Digne",8,Loss,7,FALSE,FALSE,0,0,90,,4_3_3,La Liga,Tournament
4,23,13,54,14,1,1 (Rodriguez),0,0,9,56,91,darstefan93,3/4/2017,Roundof16,PremierCup,4,Poland,0,1,1,46,12,2,1 (Godin),0,1,100,81,Real Madrid,Athletico Madrid,None,None,19,Win,8,FALSE,FALSE,0,2,82,,4_3_3,La Liga,Tournament
4,13,7,60,13,1,0,0,0,4,53,87,xxxmasteralexxx,3/4/2017,Qfinal,PremierCup,6,Guatemala,1,5,4,40,4,0,0,0,0,80,85,Real Madrid,Barcelona,L. Suarez,Iniesta,9,Win,9,FALSE,FALSE,0,0,90,,4_3_3,La Liga,Tournament
3,11,8,56,14,2,0,0,1,3,72,87,ancientcalamity,3/4/2017,Semi,PremierCup,4,USA,0,1,0,44,4,1,1 (Valencia),0,1,0,82,Real Madrid,Manchester United,None,None,6,Win,10,FALSE,FALSE,0,0,69,,4_3_3,EPL,Tournament
3,12,8,57,19,0,0,0,2,3,66,88,xcosas,3/4/2017,Final,PremierCup,3,Portugal,1,6,4,43,11,4,1 (Boateng),1 (Hummels),4,66,82,Real Madrid,Bayern Munich,Hummels,Thiago,9,Win,11,FALSE,FALSE,1,1,90,,4_3_3,Bundesliga,Tournament
1,15,12,59,15,0,0,0,1,5,80,88,hayteam,3/5/2017,Roundof16,PremierCup,6,Armenia,2,6,5,41,15,4,"2 (Smalling, Pogba)",1 (Bailly),2,83,77,Real Madrid,Manchester United,"Rooney, Valencia","Rooney, Pogba",11,Loss,12,FALSE,FALSE,0,0,90,,4_3_3,EPL,Tournament
2,11,6,55,17,0,0,0,0,3,54,89,tune47086,3/5/2017,Roundof16,ContinentalCup,7,Germany,1,6,3,45,19,0,0,0,0,50,86,Real Madrid,Manchester United,Mkhitaryan,Herrera,3,Win,13,FALSE,FALSE,0,0,90,,4_3_3,EPL,Tournament
0,9,5,50,21,1,0,0,1,1,55,88,jmacnar,3/5/2017,Qfinal,ContinentalCup,2,Poland,0,7,6,50,6,2,0,0,3,85,89,Real Madrid,Bayern Munich,None,None,6,Loss,14,TRUE,TRUE,0,0,120,Away,4_3_3,Bundesliga,Tournament
2,7,4,56,7,0,0,0,1,3,57,88,benateng,3/5/2017,Roundof16,ContinentalCup,7,Germany,0,0,0,44,4,2,0,0,0,0,82,Real Madrid,Barcelona,None,None,5,Win,15,FALSE,FALSE,0,0,45,Home,4_3_3,La Liga,Tournament
1,8,5,57,16,4,1 (Bale),1 (Ramos),0,1,62,93,panbloarbolea,3/5/2017,Qfinal,ContinentalCup,9,Spain,6,8,6,43,16,0,0,0,0,75,86,Real Madrid,Manchester United,"Zlatan, Zlatan, Zlatan, Rooney, Shaw, Martial","Martial, Pogba, Pogba, Rooney, Shaw, Shaw",5,Loss,16,FALSE,FALSE,0,0,90,Home,4_3_3,EPL,Tournament
