Team,MatchRating,Goals,OwnGoals,GoalAssists,SOT,ShotsAttempted,Passes,PassesAttempted,Dribbles,DribblesAttempted,Crosses,CrossesAttempted,Tackles,TacklesAttemted,Saves,Player,GameID,PostionType,PlayerNumber,Position
RM,8.1,1,0,0,4,8,12,15,10,14,0,1,2,4,,Ronaldo,1,A,7,LW
RM,7,0,0,0,0,1,6,7,4,6,0,0,1,4,,Benzema,1,A,9,ST
RM,8.6,1,0,0,0,0,11,14,4,4,0,1,2,7,,Bale,1,A,11,RW
RM,6,0,0,0,0,0,1,1,1,2,0,0,0,0,,Isco,1,M,22,CAM
RM,6,0,0,0,0,0,1,1,0,0,0,0,0,0,,Casemiro,1,MD,14,CDM
RM,8.2,0,0,0,0,0,20,22,7,7,0,0,3,5,,Modric,1,M,19,CDM
RM,8.9,0,0,2,1,3,8,10,5,6,0,0,3,5,,Kroos,1,M,8,CDM
RM,7.8,0,0,0,3,4,9,12,11,11,0,0,0,1,,Rodriguez,1,MA,10,CAM
RM,7.4,0,0,0,0,0,8,10,3,5,0,0,1,2,,Marcelo,1,D,12,LB
RM,8.1,0,0,0,0,0,12,16,8,8,0,0,6,8,,Carvajal,1,D,2,RB
RM,7.8,0,0,0,1,1,7,9,4,4,0,0,2,2,,Ramos,1,D,4,CB
RM,7.6,0,0,0,0,0,7,7,2,2,0,0,1,3,,Pepe,1,D,3,CB
RM,7.1,0,0,0,0,0,3,3,0,0,0,0,0,0,4,Navas,1,,1,GK
RM,7.3,0,0,0,3,5,22,26,9,10,0,2,0,0,,Ronaldo,2,A,7,LW
RM,7,0,0,0,0,1,8,8,3,5,0,0,0,0,,Benzema,2,A,9,ST
RM,8.2,1,0,0,2,3,22,23,11,13,1,1,1,1,,Bale,2,A,11,RW
RM,6.8,0,0,0,0,0,7,7,2,5,0,0,0,1,,Isco,2,MA,22,CAM
RM,6.4,0,0,0,0,0,5,6,3,4,0,0,0,1,,Morata,2,A,21,ST
RM,7.7,0,0,0,0,0,29,37,13,15,0,0,5,5,,Modric,2,M,19,CDM
RM,7.9,0,0,0,0,0,24,32,12,13,0,0,2,3,,Kroos,2,M,8,CDM
RM,6.4,0,0,0,0,2,12,16,4,4,0,0,0,0,,Rodriguez,2,MA,10,CAM
RM,7.4,0,0,0,0,0,16,17,8,8,0,0,2,2,,Marcelo,2,D,12,LB
RM,7.3,0,0,0,0,0,19,21,8,8,0,0,0,1,,Carvajal,2,D,2,RB
RM,7.5,0,0,0,0,0,18,18,1,1,0,0,1,2,,Ramos,2,D,4,CB
RM,7.5,0,0,0,0,0,17,17,4,4,0,0,1,2,,Pepe,2,D,3,CB
RM,7.2,0,0,0,0,0,10,12,0,0,0,0,0,0,4,Navas,2,,1,GK
RM,8.1,0,0,0,2,3,18,21,15,15,0,1,0,0,,Ronaldo,3,A,7,LW
